약이름,금기성분,부작용사유
노바스크,자몽주스,자몽과 함께 복용 시 부작용 위험이 극도로 증가합니다.
노바스크,이부프로펜,이부프로펜 진통제와 복용 시 혈압 강하 효과가 감소합니다.
노바스크,부루펜,부루펜 진통제와 복용 시 혈압 감소 효과가 저해될 수 있습니다.
노바스크,이지엔6,이지엔6 진통제 성분이 혈압약의 약효를 방해합니다.
노바스크,탁센,탁센의 나프록센 성분이 혈압을 상승시킬 수 있습니다.
타이레놀,알코올,복용 중 음주 시 간 손상 위험이 매우 높아집니다.
타이레놀,술,술과 함께 복용하면 간 기능에 심각한 무리가 옵니다.
타이레놀,음주,간 대사 효소에 무리를 주어 독성 물질이 쌓일 수 있습니다.
아스피린,케토톱,다른 외용 소염진통제와 병용 시 위장관 출혈 위험이 증가합니다.
아스피린,플라빅스,항혈전제 중복 복용으로 출혈 시 지혈이 안 될 수 있습니다.
아스피린,와파린,혈액이 너무 묽어져 멍이 잘 들고 내장 출혈 위험이 생깁니다.
부루펜,아스피린,두 가지 소염진통제를 겹쳐 먹으면 신장에 치명적입니다.
부루펜,탁센,소염진통제 중복 복용으로 위점막이 손상될 수 있습니다.
이지엔6,아스피린,소염진통제 성분이 중복되어 위장 장애 확률이 높아집니다.
이지엔6,탁센,동일 계열의 소염진통제는 같이 복용하지 않는 것이 원칙입니다.
글리클라지드,아스피린,당뇨약과 아스피린이 만나면 저혈당 쇼크 위험이 증가합니다.
아모디핀,자몽,자몽 성분이 혈압약의 체내 농도를 비정상적으로 높입니다.
메트포르민,조영제,CT 촬영용 조영제와 만나면 젖산 산증이라는 위험이 생깁니다.
레보플록사신,철분제,철분 영양제가 항생제의 몸속 흡수를 완전히 막아버립니다.
신지록신,칼슘제,갑상선 호르몬제가 칼슘 영양제 때문에 흡수되지 않고 배출됩니다.
우루사,피임약,호르몬성 피임약과 병용 시 간 기능 수치에 영향을 주거나 약효가 떨어질 수 있습니다.
게보린,술,아세트아미노펜 성분이 포함되어 있어 음주 후 복용 시 간 손상을 유발합니다.
펜잘,알코올,음주 상태에서 복용 시 간 독성 물질이 생성되어 간에 치명적입니다.
활명수,탄산음료,위장 운동을 과도하게 자극하여 소화 불량을 악화시킬 수 있습니다.
액티피드,전립선약,항히스타민 성분이 전립선 비대증 환자의 소변 배출을 방해할 수 있습니다.
씨잘,수면제,중추신경 억제 작용이 겹쳐 극심한 졸음이나 호흡 곤란을 유발할 수 있습니다.
지르텍,알코올,항히스타민제와 술이 만나면 어지러움과 졸음이 위험한 수준으로 심해집니다.
경구피임약,흡연,35세 이상 흡연 여성이 복용 시 혈전증 등 심혈관계 부작용이 급증합니다.
오메가3,와파린,피를 묽게 하는 성분이 겹쳐 상처 시 지혈이 장시간 안 될 수 있습니다.
홍삼,당뇨약,홍삼이 혈당을 낮추는 약효를 너무 강하게 만들어 저혈당을 유발합니다.
프로바이오틱스,항생제,항생제가 유산균을 모두 죽여버리므로 2시간 이상 간격을 두고 먹어야 합니다.
루테인,비타민A,비타민A 성분이 과다 흡수되어 두통이나 피부 건조 등 부작용이 생깁니다.
고혈압약,요오드,일부 혈압약은 요오드 영양제와 만나면 고칼륨혈증을 일으킬 수 있습니다.
종합감기약,커피,카페인 과다 섭취로 인해 심장 두근거림과 불면증이 심해집니다.
모니플루메이트,이부프로펜,비스테로이드성 소염진통제 중복으로 위장관 궤양 및 출혈 위험이 커집니다.
록소프로펜,나프록센,동일한 소염진통제 계열 병용으로 신장 기능에 심각한 무리를 줍니다.
클로피도그렐,오메프라졸,위산분비억제제가 항혈전제의 약효를 떨어뜨려 혈전 발생 위험을 높입니다.
심바스타틴,자몽주스,고지혈증 약물이 몸에 과도하게 쌓여 근육통이나 근육 녹음 증상을 유발합니다.
아토르바스타틴,레보플록사신,고지혈증 약과 특정 항생제가 만나면 근육 부작용 위험이 증가합니다.
시프로플록사신,커피,항생제가 카페인 대사를 방해하여 심장 두근거림과 극심한 불안감을 유발합니다.
테트라사이클린,우유,우유 속 칼슘 성분이 항생제와 결합해 약효를 완전히 무력화시킵니다.
